"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
21.7,69,7.3,12.7,21.1,6.2,0.94,10.4,593
44.6,79.9,9.8,25.3,28.7,29.2,1.74,4.1,756
33.1,66.1,21.1,41.6,27.9,17.7,2.23,3.4,733
22.9,63.8,2.9,9.4,16.7,0.4,0.98,10.7,593
35.1,81.6,1.7,11.2,35.3,15.5,1.72,16.6,438
28.2,59.2,12.7,21.2,21.7,10.2,1.3,5.2,565
22.7,73,33.6,38.6,30.8,14.2,1.72,10.7,576
29.1,63.6,12.3,21.1,32,5.1,1.53,7.4,542
21.6,76.5,17.5,21.6,22.2,10.5,1.03,11.3,461
35.8,71.8,42.3,53.4,29.8,13.3,2.32,4,485
34,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510
25.5,63,29.1,38.7,28.8,4.7,1.32,5.9,527
18.6,49.8,14,18.6,23.3,4.4,0.77,10,262
33,84.1,1.6,23.8,31.4,-3.4,2.1,4.3,493
37.1,58,15.9,19.3,27,16.2,1.18,7.2,403
39.4,55.7,1,11.4,33.1,10.3,1.27,6.2,416
37.3,98.6,68.4,85.3,37.5,16.9,2.34,9,695
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379
31.2,54,16.4,22.8,23,3.9,1.59,9.4,492
32.2,66.6,8.3,19.7,23.5,13.2,1.08,5.6,382
34.1,76.7,3.5,10.5,21.9,3.9,1.23,10.4,299
25.4,75.3,0.7,2.9,23.3,7.3,0.85,17,325
27.6,49,1.3,9.8,25.1,6.3,1,11.1,208
24.8,67.9,2.3,8.2,23.9,1.4,1.08,18.8,207
30.4,80,10.6,17.9,19.3,3.8,0.87,12.5,464
29.2,45.3,10.3,17.7,21.6,6.8,0.92,11.1,219
27.4,67.2,86.2,86.5,18.8,9.9,1.29,5.1,354
20.6,67.3,7.4,14.1,12.7,2.3,1.09,10.3,484
26.3,54.7,2,8.2,27.9,3.4,1.05,17,330
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898
20,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407
24.8,67.2,20.9,23.5,22,5.8,0.92,12.5,255
25.5,81,1.1,9.9,31.2,12.3,1.77,5.9,572
43.7,84.2,14.9,21.4,34.1,23.9,2.01,4.5,615
24.8,86.3,14.3,21.5,22.7,12.2,1.27,8.6,419
25.3,47.1,23.5,28.9,12.5,5.9,1.19,10.9,223
24.3,92.5,25.8,32.4,30.8,13.7,1.69,6,268
44,111,20.6,39.6,34.3,6.6,1.95,4.2,741
35.7,49.1,18.1,26.5,29.1,13.4,2.24,3.9,649
28.7,80.2,15.8,23.3,17.5,7.8,0.87,10.2,512
23.6,73,10.5,13.8,17.1,6.3,1.03,10.4,571
41.4,66.1,15.1,31.6,28.7,19.4,1.65,5.9,776
34.8,66.4,10.7,17.1,20.8,4.1,1.08,12.9,353
28.7,84,79.8,86.5,24,6.7,1.2,9.6,423
21.4,42,3.6,6.6,19.7,1.3,1.07,20,473
25.8,53,14.7,20.4,13.2,5.7,0.82,11.1,259
38.2,63.2,37.1,49.7,32.6,26.1,2.27,7.2,590
28.1,67.8,2,6.9,21.5,1.1,0.85,11,344
31.3,75,37.8,47.1,32.6,11,1.87,5.6,451
